NCBI GeneID,Transcript Accession,Transcript_length
6730181,XM_002105436.4,1388
6730181,XM_016174069.3,1138
6737389,XM_039293558.2,8484
6737389,XM_039293550.2,8568
6737389,XM_039293556.2,8481
6737389,XM_039293554.2,8483
6737389,XM_016169889.3,8561
6737389,XM_016169890.3,8567
6737389,XM_039293552.2,8561
6737389,XM_044923120.1,8483
6737389,XM_016169894.3,8567
6737389,XM_039293551.2,8561
6737389,XM_039293549.2,8567
6737389,XM_016169892.3,8560
6737389,XM_016169896.3,8503
6737389,XM_039293548.2,8427
6729286,XM_016174848.3,6493
6734800,XM_002081767.4,1668
6738339,XM_002085113.4,2217
6740029,XM_039296537.2,3181
6740029,XM_039296539.2,3128
6740029,XM_039296536.2,3185
6736591,XM_016170758.2,2885
6730202,XM_002105451.4,373
6724720,XM_016180677.3,3341
6724720,XM_016180674.3,3527
6724720,XM_016180676.3,3347
6724720,XR_005544439.1,2105
6727559,XM_039295728.2,4979
6727559,XM_039295727.2,5836
6727559,XM_016176451.3,3090
6727559,XM_016176457.2,2534
6729369,XM_039295899.2,1285
6729369,XM_016177376.3,1289
6731504,XM_002078616.4,808
6725263,XM_016172915.3,1144
6727485,XM_016175570.3,2126
6727485,XM_002102829.4,2066
6726226,XM_044923772.1,4518
6726226,XM_016172451.3,4794
6731455,XM_016178686.3,1018
6725000,XM_039298055.2,9356
6734326,XM_002081313.4,942
6735393,XM_002082304.4,459
6728463,XM_016175156.3,731
6735802,XM_016168789.3,1929
6726041,XM_016172543.3,4187
6726041,XM_016172541.3,4044
6731979,XM_002079077.4,801
6727955,XM_016175375.3,1645
6729104,XM_016177277.3,2010
6729104,XM_002104389.4,2043
6729504,XM_016174750.3,3258
6734418,XM_039293456.2,2347
6734418,XM_039293455.2,2447
6734418,XM_016182035.3,2802
6734418,XM_016182034.3,2161
6734418,XM_039293457.2,2245
6734418,XR_005543977.2,2643
6734418,XR_005543976.2,1985
6734418,XR_005543978.2,2481
6730166,XM_016177825.3,2052
6729455,XM_039295239.2,3621
6729455,XM_002104729.4,3560
6727390,XM_016176381.3,2693
6727390,XM_016176382.3,2019
6727996,XM_016176667.3,4148
6728741,XM_016177095.3,9117
27206376,XM_016173244.3,1151
6726906,XM_016175904.3,861
6732775,XM_002079852.4,1773
6732775,XM_016180371.2,1821
6729207,XM_039294683.2,5452
6729207,XM_016174891.3,6336
6729207,XM_039294684.2,4976
6729207,XM_039294685.2,3845
6729207,XM_044923294.1,3341
6730371,XM_002105617.4,2838
6730371,XM_039295122.2,2465
6730371,XM_039295124.2,2507
6730371,XM_039295123.2,2396
6737935,XM_002084718.4,247
6726907,XM_002102273.4,637
6729112,XM_002104397.3,2014
6725084,XM_039297409.2,3539
6727018,XM_002102380.4,2004
6732669,XM_016178150.3,3020
6737597,XM_002084393.4,1456
6728451,XM_039295953.2,2399
6728855,XM_002104153.4,2173
6738161,XM_016171526.3,3730
6738161,XM_016171527.3,3409
6738161,XM_039293408.2,3376
6738161,XM_039293407.2,3385
6727774,XM_039294677.2,4488
6727774,XM_002103100.4,4490
6729568,XM_002104840.4,1924
6730191,XM_016177833.3,322
6726381,XM_016172379.3,2260
6726381,XR_005544669.2,2210
6728006,XM_016175348.3,2415
6728351,XM_002103663.4,1949
6728351,XM_016175183.2,1761
6729047,XM_039294975.2,2297
6729047,XM_016177240.3,2301
6730875,XM_016179062.3,4837
6731950,XM_016179985.3,4430
6740171,XM_016181129.2,7087
6734328,XM_016182128.3,2647
6734328,XM_016182127.2,2740
6734328,XM_044922396.1,2566
27206470,XM_016176842.3,2391
6725463,XM_039297769.2,2663
6725463,XM_039297770.2,2604
6725463,XM_039297771.2,2580
6725463,XM_039297772.2,2521
6725463,XM_016173634.3,2782
6725463,XM_016173629.3,2775
6725463,XM_016173628.3,2782
6728340,XM_016175189.3,2199
6736190,XM_002083050.4,2549
6740638,XM_039297766.2,6202
6740638,XM_039297768.2,6121
6730169,XM_016174142.3,614
6730169,XM_016174141.2,494
6730177,XM_002105432.4,6182
6730177,XM_016177830.3,5791
6730177,XM_039294449.2,5686
6732060,XM_002079156.4,1135
6734593,XM_016168131.3,1891
6734593,XM_016168130.3,1024
6734593,XM_016168129.3,961
6734593,XM_002081565.3,2190
6725468,XM_039296659.2,2494
6725468,XM_016172846.3,2503
6728529,XM_039295839.2,9328
6728529,XM_039295843.2,9234
6728529,XM_039295844.2,8835
6728529,XM_039295845.2,8745
6728529,XM_039295841.2,8318
6728529,XM_039295840.2,8654
6728529,XM_039295842.2,8407
6734810,XM_002081777.3,518
6735202,XM_002082139.4,1611
6726917,XM_016176178.3,1010
6727192,XM_016175806.3,1824
6728348,XM_016175186.3,1994
6728348,XM_016175187.3,2068
6728348,XM_016175184.3,1999
6728348,XM_016175185.2,953
6730203,XM_002105452.4,443
6738893,XM_039293382.2,2193
6738893,XM_039293381.2,1927
6725241,XM_002106227.4,1575
6727296,XM_002102647.4,1033
6728310,XM_002103623.4,2916
6728310,XM_016176832.3,2741
6731627,XM_002078731.4,933
6732214,XM_002079307.4,3380
6737457,XM_016171221.3,5805
6737788,XM_002084580.4,1715
6738604,XM_002085372.4,1992
6730204,XM_002105453.4,436
6730938,XM_016179524.3,1131
6730939,XM_002078066.4,2218
6732389,XM_002079474.4,2990
6730150,XM_016174219.3,1568
27206522,XM_044923183.1,595
6727029,XM_002102391.4,1028
6736523,XM_002083357.4,534
6736548,XM_002083382.4,1883
6729740,XM_002105010.3,1635
6730461,XM_039296060.2,2135
6730461,XM_016179248.3,2192
6730461,XM_016179247.3,2251
6730461,XM_016179246.3,1930
6734874,XM_002081839.4,1409
6735353,XM_002082264.2,1063
6735354,XM_002082265.4,695
6728108,XM_002103423.4,669
6729335,XM_016174824.3,2240
6729399,XM_002104678.4,908
6733589,XM_002080607.4,649
6726918,XM_002102284.4,892
6734294,XM_002081287.4,819
27206564,XM_039291237.2,679
6726560,XM_016174227.3,789
6726560,XR_001599860.3,1183
6726910,XM_002102276.4,1663
6729155,XM_002104440.4,6958
6731918,XM_002079017.4,3004
6734808,XM_002081775.3,505
6734809,XM_002081776.4,557
6734811,XM_016181791.2,601
6734811,XM_016181790.2,487
6734811,XM_039292877.1,472
6736410,XM_002083246.3,1496
6724747,XM_039296087.2,2266
6724747,XM_039296089.2,2203
6724747,XM_016180539.3,2336
6724747,XM_016180541.3,2339
6724747,XM_016180538.3,2222
6724747,XM_016180540.3,2342
6724747,XM_044923503.1,2446
6724747,XM_044923504.1,2135
6724747,XM_039296088.2,2267
6724747,XM_039296086.2,2273
6730165,XM_002105420.4,1273
6730168,XM_002105423.4,1673
6732277,XM_002079370.3,566
6732519,XM_002079602.4,1451
6732521,XM_002079604.3,1642
6732758,XM_016180367.3,1664
6732814,XM_016178072.3,5054
6733590,XM_002080608.4,650
27206263,XM_016170447.3,2405
27206263,XM_039293032.2,2435
6724728,XM_016180567.3,3741
6724728,XM_039296194.2,3622
6724728,XM_016180568.2,2732
6724728,XM_016180569.2,2771
6724728,XM_016180570.3,2637
6724735,XM_044923521.1,8752
6724735,XM_039296235.2,10101
6728783,XM_016177119.3,2008
6729631,XM_016177528.3,6793
6729631,XM_016177527.3,6754
6729631,XM_016177526.3,6745
6729631,XM_039295323.2,6706
6729631,XM_039295322.2,6684
6729631,XM_039295319.2,6712
6729631,XM_039295320.2,6675
6732609,XM_016178173.3,2447
6732609,XM_016178170.3,3844
6732609,XM_016178171.3,3911
6732609,XM_016178169.3,3984
6736636,XM_002083456.3,398
6725442,XM_016173613.3,1979
6725442,XM_016173614.3,1790
6729707,XM_002104977.4,1022
6729708,XM_002104978.3,835
6730899,XM_016179049.3,386
6731928,XM_016179980.3,891
6731928,XM_016179979.3,894
6732885,XM_002079954.4,869
6724795,XM_016173171.3,1937
6724795,XM_016173172.3,1942
6725065,XM_002106057.4,848
6725456,XM_002106436.4,1026
6729739,XM_016177578.3,1746
6729781,XM_016177625.3,5169
27206612,XM_016181744.3,1206
6725683,XM_002106651.4,774
6730881,XM_016179058.3,2094
6730881,XM_044922312.1,1385
6731230,XM_002078353.4,594
6735355,XM_016168539.3,676
6736581,XM_002083407.4,1106
6737167,XM_002083977.4,725
6738640,XM_002085406.4,1244
6739409,XM_002076278.4,6809
6739420,XM_016172127.3,2056
6739812,XM_044923097.1,1334
6739812,XM_044923098.1,243
6739812,XM_039294347.2,1297
6739812,XM_039294346.2,1338
6739812,XM_044923096.1,1403
6739812,XM_039294345.2,1462
6739812,XM_039294348.2,1324
6739812,XM_039294349.2,940
6732275,XM_016180122.3,2039
6724869,XM_016173143.2,1093
6724923,XM_016173112.3,1637
6724923,XM_016173113.3,1685
6725458,XM_016173620.3,3079
6725458,XM_016173622.3,2012
6725458,XM_002106438.4,3156
6725458,XM_016173621.3,1933
6725458,XM_039296542.2,1832
6725458,XM_039296544.2,1754
6725458,XM_039296541.2,2981
6725458,XM_044923752.1,1792
6725458,XM_039296543.2,1714
6725458,XM_039296540.2,3355
6725499,XM_002106477.4,1155
6725549,XM_039298002.2,11574
6728813,XM_002104111.4,740
6729159,XM_002104444.4,1008
6729607,XM_002104879.4,1496
6729607,XM_016174720.3,1360
6729728,XM_016174653.3,990
6729952,XM_002105211.4,1042
6734954,XM_039292383.2,5492
6734954,XM_039292382.2,5495
6734954,XM_044922659.1,4569
6735761,XM_016168755.2,2313
6737332,XM_016171149.3,532
6738349,XM_016171595.3,1549
6726919,XM_002102285.4,603
6728431,XM_002103740.4,2385
6734924,XM_016168338.3,1329
6734924,XM_016168337.3,1337
6738651,XM_002085417.4,2321
27206458,XM_016176320.3,1864
6725501,XM_002106479.4,872
6725721,XM_002106687.4,2034
6725721,XM_016173784.3,1747
6726131,XM_016174029.3,5842
6726131,XM_016174028.3,5770
6726131,XM_016174025.3,5838
6726131,XM_016174031.3,5777
6726131,XM_016174030.3,5826
6726642,XM_002102019.3,590
6726771,XM_016175997.2,1652
6732141,XM_016178341.3,2680
6732467,XM_002079551.3,4242
6733812,XM_002080820.4,419
6733983,XM_002080991.4,1311
6734144,XM_002081137.3,1759
6734528,XM_002081501.3,385
6734614,XM_002081586.4,284
6737230,XM_002084034.4,3222
6737449,XM_002084249.4,1416
6737449,XM_039294370.2,928
6737669,XM_039293959.2,1614
6737669,XM_044923072.1,1567
6740061,XM_016180841.3,1311
6740061,XM_002076906.4,1457
6724843,XM_016173150.3,1675
6727190,XM_002102546.4,1475
6729990,XM_016174511.3,1050
6729990,XM_016174510.3,1035
6730078,XM_002105335.4,626
6730467,XM_002077612.4,2056
6732776,XM_016180372.3,2085
6734310,XM_016167986.3,858
6734471,XM_002081454.4,682
6734471,XM_016182013.3,739
6734472,XM_016168088.3,1095
6734529,XM_002081502.4,1124
6734530,XM_016168108.3,863
6735303,XM_016181513.2,954
6736726,XM_016170825.3,764
6737036,XM_002083847.3,1081
6737183,XM_002083993.4,1562
6737183,XM_016171055.3,1482
6737241,XM_002084045.2,1091
6737416,XM_016169875.3,1169
6737416,XM_044923101.1,1576
6737416,XM_016169873.3,1739
6737416,XM_044923102.1,1318
6737416,XM_039293869.2,1530
27206167,XM_016167995.3,1082
27206334,XM_016172348.3,607
27206334,XM_016172347.3,610
27206334,XM_016172346.3,639
27206334,XM_016172345.3,622
27206334,XM_016172349.2,627
27206640,XM_039298012.2,633
6725670,XM_016172735.3,5128
6727082,XM_002102443.4,388
6727429,XM_016175613.2,2169
6727429,XM_039294586.1,1850
6728480,XM_002103789.4,2099
6728648,XM_016177036.3,15792
6728648,XM_016177039.3,15759
6728648,XM_016177040.3,15720
6728648,XM_016177037.3,15789
6728648,XM_016177041.3,15789
6728648,XM_016177045.3,15495
6728648,XM_016177044.3,15492
6728648,XM_016177042.3,15459
6728648,XM_016177038.3,15420
6728648,XM_016177043.3,15489
6729124,XM_002104409.4,1222
6729917,XM_002105183.3,1327
6730825,XM_002077956.4,481
6730873,XM_002078001.4,787
6731231,XM_002078354.4,697
6732879,XM_016180425.2,784
6732879,XM_016180426.1,736
6733185,XM_002080225.4,2401
6733810,XM_016167755.1,447
6733810,XM_016167754.2,442
6734012,XM_002081017.3,2500
6734356,XM_002081341.4,1995
6734428,XM_016182030.3,8658
6734428,XM_016182027.3,8071
6734428,XM_016182029.3,8101
6734428,XM_016182022.3,8722
6734428,XM_016182026.3,8752
6734428,XM_016182023.3,3002
6736079,XM_016168892.3,3284
6737537,XM_002084336.4,3061
6737608,XM_002084404.4,3351
6738626,XM_016169274.3,1082
6738626,XM_002085392.4,1083
6738993,XM_002085752.4,1000
6739017,XM_002085776.4,412
27206239,XM_016169958.3,1380
6724700,XM_016180640.3,1507
6724731,XM_016180553.3,9252
6724731,XM_016180558.3,9435
6724731,XM_016180556.3,9486
6724731,XM_016180555.3,9486
6724731,XM_016180562.3,9495
6724731,XM_016180559.3,10418
6724731,XM_016180552.3,10427
6724731,XM_016180560.3,10427
6724731,XM_039296184.2,8731
6724731,XM_039296185.2,5429
6724731,XM_039296186.2,5289
6724731,XR_006542007.1,6982
6725449,XM_002106429.4,1720
6725962,XM_044923636.1,3268
6725962,XM_016173907.3,3282
6726299,XM_039296813.2,2398
6726299,XM_016174122.3,1575
6726624,XM_016174279.3,2636
6726624,XM_044923546.1,2541
6726624,XM_016174278.3,2621
6726624,XM_016174277.3,2480
6726624,XM_044923545.1,2615
6726624,XM_016174275.3,2581
6726624,XM_002107537.4,2577
6726624,XM_016174276.3,2240
6727351,XM_016175694.3,3505
6728261,XR_005544401.2,1098
6728447,XM_016175160.3,1714
6728859,XM_002104157.4,1130
6729096,XM_002104381.4,1729
6729145,XM_016177300.3,3765
6729370,XM_002104650.4,3545
6729543,XM_016174734.3,3229
6730158,XM_002105413.2,1966
6730160,XM_039294451.2,4720
6730160,XM_039294452.2,4702
6730160,XM_039294453.2,4582
6730160,XM_039294454.2,4564
6730160,XM_044923150.1,3448
6730171,XM_016174135.3,1249
6730538,XM_002077681.4,852
6730771,XM_016179126.3,5887
6730771,XM_016179131.3,5893
6730771,XM_016179130.3,5893
6730771,XM_039294142.2,5896
6730771,XM_016179125.3,5899
6730771,XM_039294121.2,5464
6730771,XM_016179127.3,5505
6730771,XM_016179133.2,1939
6731876,XM_002078975.4,2726
6733211,XM_002080239.4,647
6733997,XM_016182292.3,1266
6733997,XM_016182291.3,910
6733997,XM_039292935.2,1151
6734752,XM_002081719.4,2866
6735063,XM_016181653.3,2208
6735191,XM_002082129.4,1511
6735193,XM_002082131.4,1601
6735278,XM_016181538.3,15306
6735278,XM_016181521.3,15270
6735278,XM_044922627.1,15147
6735278,XM_039292120.2,15219
6735278,XM_044922626.1,15254
6735278,XM_039292127.2,15137
6735278,XM_016181522.3,15140
6735278,XM_039292121.2,15188
6735278,XM_039292123.2,15161
6735278,XM_016181531.3,15209
6735278,XM_039292125.2,15152
6735278,XM_039292124.2,15155
6735278,XM_016181523.3,15203
6735278,XM_039292122.2,15176
6735278,XM_016181530.3,15224
6735278,XM_016181535.3,15088
6735278,XM_016181525.3,15103
6735278,XM_039292117.2,14987
6735278,XM_039292116.2,15074
6735278,XM_016181532.3,14400
6735278,XM_016181528.3,14282
6735278,XM_016181533.3,14232
6735278,XR_006541606.1,2693
6735278,XR_006541604.1,2708
6735278,XR_006541605.1,2667
6735593,XM_016168698.3,3408
6736073,XM_002082938.4,1229
6737975,XM_016169627.3,2868
6737975,XM_039292972.2,3023
6737975,XM_039292971.2,3040
6737975,XM_039292968.2,3117
6737975,XM_039292970.2,3057
6737975,XM_039292974.2,2978
6737975,XM_039292976.2,2903
6737975,XM_039292967.2,3134
6737975,XM_039292973.2,3013
6737975,XM_039292969.2,3090
6737975,XM_039292978.2,2858
6737975,XM_039292977.2,2876
6737975,XM_039292975.2,2953
6737975,XM_039292979.2,1499
6738359,XM_002085133.4,1436
6738468,XM_016171647.3,1006
6738679,XM_002085445.4,2844
6739514,XM_039292707.1,1249
6739514,XM_016172235.2,1566
6740007,XM_002076855.4,1894
6740169,XM_039297502.1,8054
6740169,XM_039297501.1,7970
6740169,XM_039297503.1,7967
6740169,XM_039297504.2,7829
6740169,XM_039297505.2,6818
6740169,XM_039297506.2,6815
6740169,XM_039297507.2,6677
27207993,XM_039293492.2,2440
27207993,XM_044922913.1,2413
6724979,XM_016173042.3,1661
6724979,XM_016173043.3,1183
6724979,XM_016173041.3,1340
6724985,XM_016173333.2,2477
6724985,XM_039298131.1,2462
6724985,XM_016173334.3,2393
6724985,XM_016173335.2,2378
6724989,XM_002105988.4,1138
6728325,XM_002103638.4,2484
6728345,XM_002103657.4,1785
6729454,XM_016177463.2,4803
6729454,XM_016177462.2,4800
6729454,XM_016177461.2,4799
6729789,XM_002105058.4,911
6730332,XM_002105578.3,1849
6731597,XM_002078702.4,1285
6731858,XM_002078957.4,3067
6731881,XM_016179957.3,2608
6732257,XM_002079350.4,5583
6738376,XM_002085149.4,596
6738377,XM_002085150.4,672
6739960,XM_002076813.4,1058
6740478,XM_016176749.3,2728
6740478,XM_016176746.3,2606
6740478,XM_016176747.3,2660
6740478,XM_016176745.3,2678
6740478,XM_016176748.3,2732
27206256,XM_016170297.3,741
27206379,XM_039297151.2,8430
27206379,XM_039297152.2,4767
27206379,XM_039297154.2,4587
27206379,XM_039297153.2,6643
27206379,XM_039297155.2,3769
27206404,XM_039296464.2,445
6724686,XM_039296160.2,5171
6724686,XM_039296162.2,5150
6724686,XM_039296161.2,5167
6724686,XM_039296163.2,5146
6724686,XM_039296164.2,5146
6724686,XM_039296165.2,5125
6724686,XM_039296167.2,5045
6724686,XM_039296168.2,4719
6724686,XM_039296166.2,4798
6724686,XM_039296159.2,4534
6724686,XM_016174455.2,4519
6724686,XM_044923513.1,1873
6724686,XM_039296155.1,6473
6724686,XM_016174462.3,5128
6724686,XM_039296158.2,5116
6724686,XM_016174456.2,3040
6724686,XM_016174454.2,2594
6724686,XM_044923511.1,3028
6724686,XM_039296170.1,2582
6724686,XM_016174461.2,2930
6724686,XM_039296157.1,2590
6724686,XM_016174451.2,2422
6724686,XM_039296169.1,2410
6724686,XM_016174453.3,2429
6724686,XM_016174463.3,5683
6724686,XM_044923512.1,4079
6724686,XM_016174459.2,3889
6724686,XM_044923514.1,3540
6724729,XM_016180566.3,2752
6724729,XM_039296195.2,2765
6724738,XM_016180732.3,1756
6724753,XM_016173211.3,1443
6724753,XM_016173212.3,1419
6724753,XM_016173216.3,1428
6724753,XM_016173215.3,1529
6724754,XM_039297903.2,3960
6724754,XM_039297899.2,5088
6724754,XM_039297900.2,5012
6724754,XM_039297902.2,5067
6724754,XM_039297901.2,5085
6724767,XM_039296942.2,3473
6724767,XM_039296943.2,3447
6724767,XM_039296944.2,3395
6725694,XM_016173758.3,4445
6725922,XM_002106872.4,905
6725943,XM_039298036.2,1084
6725944,XM_044923781.1,4214
6726007,XM_016173937.3,5204
6726007,XM_016173936.3,5952
6726007,XM_044923586.1,5187
6726398,XM_002107320.4,494
6726495,XM_039297881.2,578
6726495,XM_002107415.4,607
6726517,XM_039296465.2,413
6726534,XM_002107453.4,456
6726916,XM_016175903.3,1672
6726916,XM_002102282.4,1498
6726921,XM_002102287.4,708
6726923,XM_016175902.3,2097
6726925,XM_016176179.3,2328
6726927,XM_002102293.4,1187
6726929,XM_039294928.2,2953
6726929,XM_039294923.2,3018
6726929,XM_039294924.2,3012
6726929,XM_044923229.1,2637
6726929,XM_039294925.2,2631
6726929,XM_039294927.2,3049
6726929,XM_039294926.2,3752
6726929,XR_006541883.1,3658
6726931,XM_016176183.3,2354
6726932,XM_016176185.2,1441
6726932,XM_039295103.2,1561
6726933,XM_002102299.4,1479
6726934,XM_039295101.2,1640
6726934,XM_016175901.3,1641
6726936,XM_002102302.4,1591
6726937,XM_016176187.3,1161
6727037,XM_002102399.4,1757
6727100,XM_002102457.4,1917
6727105,XM_016175844.3,2035
6727105,XM_002102462.4,2037
6727906,XM_016175390.3,4644
6729513,XM_016177492.3,1115
6730053,XM_002105310.4,368
6730065,XM_002105322.4,499
6730114,XM_002105371.4,797
6730114,XM_016177796.3,784
6730362,XM_016177923.3,3842
6730362,XM_016177926.2,3959
6730362,XM_016177924.3,4611
6730362,XM_016177922.3,3931
6730592,XM_039295369.2,12209
6730679,XM_016179423.3,1380
6730679,XM_016179422.3,1374
6730680,XM_002077814.4,837
6730681,XM_002077815.4,830
6730683,XM_002077817.3,815
6730684,XM_002077818.4,1038
6731396,XM_002078513.4,1420
6731921,XM_016178447.3,2798
6731921,XM_039295489.2,2725
6731924,XM_016179977.3,4417
6731925,XM_002079024.4,1240
6731926,XM_016179978.3,761
6731929,XM_016179981.3,1763
6731932,XM_002079031.4,490
6731964,XM_016179989.3,5175
6731964,XM_039298470.1,5358
6731964,XM_039298475.1,5328
6731964,XM_039298471.2,5092
6731964,XM_044923907.1,5068
6731964,XM_039298474.2,4877
6731964,XM_039298472.2,4691
6731964,XM_039298473.2,4693
6732033,XM_002079129.4,1236
6732204,XM_016180091.3,2065
6732204,XM_016180092.3,2062
6732204,XM_016180093.3,1924
6732204,XM_016180094.3,1926
6732316,XM_002079408.4,1399
6732374,XM_016178258.3,758
6732535,XM_016180222.3,1342
6733888,XM_016182346.3,4312
6733888,XM_016182342.3,2598
6733888,XM_016182352.3,2437
6733888,XM_016182356.3,3510
6733888,XM_016182348.3,3241
6733888,XM_016182361.3,3244
6733888,XM_039291885.2,2062
6733888,XM_016182353.3,6631
6733888,XM_039291881.2,4465
6733888,XM_016182354.3,2274
6733888,XM_016182359.3,4754
6733888,XM_016182338.3,5253
6733888,XM_016182347.3,5199
6733888,XM_016182337.3,5085
6733888,XM_039291884.2,2423
6733888,XM_016182363.3,6120
6733888,XM_016182357.3,3448
6733888,XM_016182364.3,2618
6733888,XM_016182345.3,3612
6733888,XM_016182349.3,2690
6733888,XM_016182358.3,3393
6733888,XM_016182362.3,2458
6733888,XM_016182350.3,2526
6733888,XR_006541568.1,5131
6733888,XR_001600069.3,6295
6733930,XM_002080938.3,1702
6733931,XM_016182312.3,1634
6734380,XM_016182061.3,5187
6734380,XM_016182060.3,5262
6734380,XM_039291786.2,4985
6734380,XM_016182059.3,5743
6734380,XM_016182062.3,5818
6734380,XM_039291787.2,3205
6734944,XM_016181688.2,5779
6734944,XM_039292381.2,5348
6736622,XM_002083442.3,386
6736623,XM_016170767.3,368
6736624,XM_002083444.4,379
6736625,XM_002083445.4,387
6736633,XM_002083453.4,373
6736645,XM_016170783.3,3691
6736793,XM_016170199.3,3917
6736793,XM_016170200.3,3224
6736804,XM_002083624.3,2173
6736946,XM_002083757.4,1571
6738141,XM_002084918.4,996
6739414,XM_002076282.3,2285
6740073,XM_016180827.3,1174
6740130,XM_039297328.2,1080
27206316,XM_016172100.3,1642
27206587,XM_016181055.2,6008
27206587,XM_039296534.2,2999
27206587,XM_016181053.3,5904
27206587,XM_039296528.1,5869
27206587,XM_039296527.2,6054
27206587,XM_016181057.3,5986
27206587,XM_039296532.2,5852
27206587,XM_039296531.2,6013
27206587,XM_039296530.1,5937
27206587,XM_016181052.2,5931
27206587,XM_039296533.1,5921
27206587,XM_039296529.1,5887
27206587,XM_016181056.3,5861
6725443,XM_002106423.4,1009
6725446,XM_016172849.3,3552
6725461,XM_039296545.2,1497
6729676,XM_016177544.3,1776
6729676,XM_016177543.3,1760
6730018,XM_016177754.3,3390
6730470,XM_016179242.3,1735
6730594,XM_016179200.3,2415
6730774,XM_016179124.3,1233
6730955,XM_002078082.4,2935
6735345,XM_002082256.4,1534
6735347,XM_002082258.4,2463
6735348,XM_016181508.3,1966
6735349,XM_002082260.4,2113
6735350,XM_016181505.3,1691
6735350,XM_016181507.3,1660
6735350,XM_039291973.2,1878
6735351,XM_016181503.3,1651
6735351,XM_016181504.3,1647
6735352,XM_039291972.2,3560
6735352,XM_002082263.4,3973
6735352,XM_044922545.1,3847
6735352,XM_016168537.3,3748
6735358,XM_002082269.4,2801
6735359,XM_016168541.3,1418
6735362,XM_016181501.3,1402
6735363,XM_016181500.3,5197
6735365,XM_002082276.4,1265
6735366,XM_002082277.4,836
6736669,XM_002083489.3,428
6737650,XM_002084446.4,1076
6738144,XM_016171517.3,1534
6738154,XM_002084931.4,1348
6738160,XM_002084937.4,4552
6738160,XM_016171523.2,3272
6738162,XM_002084939.4,2275
6738164,XM_039293405.2,7242
6738164,XM_039293404.2,7207
6738164,XM_039293406.2,7189
6738164,XR_005543975.2,7143
6738167,XM_002084944.4,2468
6738170,XM_016171535.3,4289
6738170,XM_039294372.2,3851
6738170,XM_016171533.3,2979
6738170,XM_016171534.3,2638
6738170,XM_016171532.3,3237
6738170,XM_016171536.3,1734
6738175,XM_002084952.4,4416
6740027,XM_002076877.4,2311
6740028,XM_016180862.3,740
6740028,XM_002076876.4,743
6740030,XM_002076880.4,672
27206485,XM_016177563.3,1125
27206675,XM_016182480.2,3091
27206675,XR_005544528.1,1561
27208442,XM_016184008.3,2458
6724927,XM_002105928.4,1567
6725064,XM_002106056.4,3040
6725066,XM_016173001.3,1829
6726207,XM_016174071.3,2968
6726207,XM_016174070.3,1989
6726207,XM_016174072.3,2124
6726651,XM_016176073.3,2894
6726659,XM_002102034.3,1229
6727010,XM_016176225.3,1454
6727010,XM_016176223.3,1576
6727010,XM_016176226.3,1469
6727116,XM_002102473.4,1444
6727336,XM_002102685.3,1570
6727339,XM_002102688.4,334
6727700,XM_016176528.3,882
6727700,XM_016176532.3,730
6727700,XM_016176531.3,733
6727700,XM_039295082.1,692
6728142,XM_002103457.4,1451
6728929,XM_002104221.4,1289
6728930,XM_002104222.3,1673
6728942,XM_016174970.3,2458
