NCBI GeneID,Protein Accession,Protein_length
6730177,XP_016036935.1,1580
6730177,XP_039150383.1,1545
6732060,XP_002079192.1,345
6734593,XP_002081601.1,601
6734593,XP_016027715.1,229
6734593,XP_016027716.1,250
6734593,XP_016027717.1,501
6725468,XP_016038580.1,543
6725468,XP_039152593.1,540
6728529,XP_039151773.1,1851
6728529,XP_039151774.1,1851
6728529,XP_039151775.1,1851
6728529,XP_039151776.1,1851
6728529,XP_039151777.1,1822
6728529,XP_039151778.1,1690
6728529,XP_039151779.1,1661
6734810,XP_002081813.1,120
6735202,XP_002082175.1,346
6726917,XP_016033421.1,242
6727192,XP_016033680.1,415
6728348,XP_016034972.1,383
6728348,XP_016034973.1,216
6728348,XP_016034974.1,383
6728348,XP_016034975.1,383
6730203,XP_002105488.1,63
6738893,XP_039149315.1,433
6738893,XP_039149316.1,428
6725241,XP_002106263.2,344
6727296,XP_002102683.1,251
6728310,XP_002103659.2,759
6728310,XP_016034945.1,755
6731627,XP_002078767.1,256
6732214,XP_002079343.1,795
6737457,XP_016031226.1,1639
6737788,XP_002084616.1,544
6738604,XP_002085408.1,506
6730204,XP_002105489.1,63
6730938,XP_016023387.2,337
6730939,XP_002078102.1,622
6732389,XP_002079510.1,594
6730150,XP_016036915.1,384
27206522,XP_044779118.1,151
6727029,XP_002102427.2,259
6736523,XP_002083393.1,117
6736548,XP_002083418.1,568
6729740,XP_002105046.2,486
6730461,XP_016022918.1,491
6730461,XP_016022919.1,491
6730461,XP_016022920.1,491
6730461,XP_039151994.1,491
6734874,XP_002081875.2,192
6735353,XP_002082300.1,260
6735354,XP_002082301.1,174
6728108,XP_002103459.1,154
6729335,XP_016035977.1,636
6729399,XP_002104714.1,201
6733589,XP_002080643.2,185
6726918,XP_002102320.1,243
6734294,XP_002081323.1,223
27206564,XP_039147171.1,130
6726560,XP_016040224.1,130
6726910,XP_002102312.1,336
6729155,XP_002104476.2,2249
6731918,XP_002079053.1,843
6734808,XP_002081811.2,136
6734809,XP_002081812.1,132
6734811,XP_016028021.1,124
6734811,XP_016028022.1,124
6734811,XP_039148811.1,124
6736410,XP_002083282.1,389
6724747,XP_016037447.1,490
6724747,XP_016037448.1,530
6724747,XP_016037449.1,530
6724747,XP_016037450.1,529
6724747,XP_039152020.1,530
6724747,XP_039152021.1,530
6724747,XP_039152022.1,530
6724747,XP_039152023.1,523
6724747,XP_044779438.1,530
6724747,XP_044779439.1,523
6730165,XP_002105456.1,356
6730168,XP_002105459.2,435
6732277,XP_002079406.1,120
6732519,XP_002079638.2,439
6732521,XP_002079640.1,441
6732758,XP_016025480.1,445
6732814,XP_016025540.1,1447
6733590,XP_002080644.1,184
27206263,XP_016029926.1,184
27206263,XP_039148966.1,184
6724728,XP_016037363.1,640
6724728,XP_016037364.1,579
6724728,XP_016037365.1,579
6724728,XP_016037366.1,579
6724728,XP_039152128.1,579
6724735,XP_039152169.1,1944
6724735,XP_044779456.1,1944
6728783,XP_016035463.1,189
6729631,XP_016036268.1,618
6729631,XP_016036269.1,621
6729631,XP_016036270.1,634
6729631,XP_039151253.1,634
6729631,XP_039151254.1,634
6729631,XP_039151256.1,634
6729631,XP_039151257.1,605
6732609,XP_016025315.1,1006
6732609,XP_016025316.1,1006
6732609,XP_016025317.1,1006
6732609,XP_016025319.1,679
6736636,XP_002083492.1,70
6725442,XP_016038537.1,546
6725442,XP_016038538.1,483
6729707,XP_002105013.1,186
6729708,XP_002105014.1,179
6730899,XP_016023328.1,78
6731928,XP_016024598.1,254
6731928,XP_016024599.1,254
6732885,XP_002079990.1,214
6724795,XP_016037573.1,496
6724795,XP_016037574.1,442
6725065,XP_002106093.1,188
6725456,XP_002106472.1,282
6729739,XP_016036400.1,465
6729781,XP_016036462.2,1096
27206612,XP_016028131.1,379
6725683,XP_002106687.1,202
6730881,XP_016023306.1,403
6730881,XP_044778247.1,315
6731230,XP_002078389.1,120
6735355,XP_016028688.1,152
6736581,XP_002083443.1,263
6737167,XP_002084013.1,186
6738640,XP_002085442.1,388
6739409,XP_002076314.1,494
6739420,XP_016027111.1,599
6739812,XP_039150279.1,429
6739812,XP_039150280.2,419
6739812,XP_039150281.1,401
6739812,XP_039150282.1,383
6739812,XP_039150283.1,252
6739812,XP_044779031.1,429
6739812,XP_044779032.1,388
6739812,XP_044779033.1,58
6732275,XP_016024939.1,615
6724869,XP_016037676.1,270
6724923,XP_016037781.1,503
6724923,XP_016037782.1,512
6725458,XP_002106474.2,663
6725458,XP_016038549.1,637
6725458,XP_016038550.1,512
6725458,XP_016038551.1,538
6725458,XP_039152474.1,663
6725458,XP_039152475.1,663
6725458,XP_039152476.1,538
6725458,XP_039152477.1,522
6725458,XP_039152478.1,512
6725458,XP_044779687.1,548
6725499,XP_002106513.1,240
6725549,XP_039153936.1,3749
6728813,XP_002104147.1,176
6729159,XP_002104480.1,237
6729607,XP_002104915.1,409
6729607,XP_016036246.1,325
6729728,XP_016036383.1,310
6729952,XP_002105247.1,330
6734954,XP_039148316.1,1527
6734954,XP_039148317.1,1527
6734954,XP_044778594.1,1352
6735761,XP_016029131.1,552
6737332,XP_016031059.1,138
6738349,XP_016032194.1,440
6726919,XP_002102321.1,145
6728431,XP_002103776.2,711
6734924,XP_016028198.1,382
6734924,XP_016028199.1,382
6738651,XP_002085453.2,362
27206458,XP_016033735.2,553
6725501,XP_002106515.2,239
6725721,XP_002106723.1,505
6725721,XP_016039000.1,505
6726131,XP_016039637.1,1681
6726131,XP_016039640.1,1654
6726131,XP_016039641.1,1678
6726131,XP_016039642.1,1681
6726131,XP_016039643.1,1657
6726642,XP_002102055.1,141
6726771,XP_016033255.1,430
6732141,XP_016024821.1,614
6732467,XP_002079587.1,1359
6733812,XP_002080856.1,92
6733983,XP_002081027.1,412
6734144,XP_002081173.1,393
6734528,XP_002081537.1,64
6734614,XP_002081622.1,52
6737230,XP_002084070.1,993
6737449,XP_002084285.3,407
6737449,XP_039150304.1,251
6737669,XP_039149893.1,371
6737669,XP_044779007.1,359
6740061,XP_002076942.2,392
6740061,XP_016038788.1,343
6724843,XP_016037625.1,429
6727190,XP_002102582.2,382
6729990,XP_016036757.1,200
6729990,XP_016036758.1,200
6730078,XP_002105371.1,151
6730467,XP_002077648.1,428
6732776,XP_016025489.1,504
6734310,XP_016027363.1,241
6734471,XP_002081490.2,193
6734471,XP_016027597.1,212
6734472,XP_016027599.1,238
6734529,XP_002081538.1,218
6734530,XP_016027645.1,218
6735303,XP_016028653.1,235
6736726,XP_016030350.1,192
6737036,XP_002083883.1,229
6737183,XP_002084029.1,233
6737183,XP_016030884.1,174
6737241,XP_002084081.1,244
6737416,XP_016031176.1,261
6737416,XP_016031178.1,250
6737416,XP_039149803.1,261
6737416,XP_044779036.1,261
6737416,XP_044779037.1,261
27206167,XP_016027411.1,140
27206334,XP_016040085.1,77
27206334,XP_016040086.1,96
27206334,XP_016040087.1,77
27206334,XP_016040088.1,77
27206334,XP_016040089.1,77
27206640,XP_039153946.1,107
6725670,XP_016038896.1,1177
6727082,XP_002102479.1,63
6727429,XP_016033997.1,485
6727429,XP_039150520.1,485
6728480,XP_002103825.1,445
6728648,XP_016035290.1,4975
6728648,XP_016035291.1,4974
6728648,XP_016035292.1,4851
6728648,XP_016035293.1,4964
6728648,XP_016035294.1,4951
6728648,XP_016035295.1,4974
6728648,XP_016035296.1,4864
6728648,XP_016035297.1,4874
6728648,XP_016035298.1,4875
6728648,XP_016035299.1,4876
6729124,XP_002104445.1,341
6729917,XP_002105219.1,334
6730825,XP_002077992.1,116
6730873,XP_002078037.1,117
6731231,XP_002078390.1,155
6732879,XP_016025605.1,182
6732879,XP_016025606.1,182
6733185,XP_002080261.2,526
6733810,XP_016026779.1,66
6733810,XP_016026780.1,66
6734012,XP_002081053.1,555
6734356,XP_002081377.1,527
6734428,XP_016029718.1,2258
6734428,XP_016029719.1,567
6734428,XP_016029722.1,2268
6734428,XP_016029723.1,2041
6734428,XP_016029725.1,2051
6734428,XP_016029726.1,2268
6736079,XP_016029472.1,979
6737537,XP_002084372.1,935
6737608,XP_002084440.1,954
6738626,XP_002085428.2,284
6738626,XP_016032464.1,284
6738993,XP_002085788.1,275
6739017,XP_002085812.1,68
27206239,XP_016030963.1,179
6724700,XP_016037268.1,414
6724731,XP_016037370.1,3204
6724731,XP_016037371.1,2780
6724731,XP_016037373.1,2858
6724731,XP_016037374.1,2858
6724731,XP_016037376.1,2841
6724731,XP_016037377.1,3201
6724731,XP_016037378.1,3204
6724731,XP_016037380.1,2861
6724731,XP_039152118.1,2186
6724731,XP_039152119.1,1636
6724731,XP_039152120.1,1636
6725449,XP_002106465.1,502
6725962,XP_016039316.1,843
6725962,XP_044779571.1,843
6726299,XP_016039841.1,408
6726299,XP_039152747.1,408
6726624,XP_002107573.2,672
6726624,XP_016040320.1,673
6726624,XP_016040321.1,556
6726624,XP_016040322.1,638
6726624,XP_016040323.1,670
6726624,XP_016040324.1,681
6726624,XP_044779480.1,703
6726624,XP_044779481.1,659
6727351,XP_016040222.1,594
6728447,XP_016035061.1,321
6728859,XP_002104193.1,255
6729096,XP_002104417.1,219
6729145,XP_016035792.1,1200
6729370,XP_002104686.1,969
6729543,XP_016036216.1,917
6730158,XP_002105449.1,477
6730160,XP_039150385.1,745
6730160,XP_039150386.1,739
6730160,XP_039150387.1,699
6730160,XP_039150388.1,693
6730160,XP_044779085.1,745
6730171,XP_016036930.1,227
6730538,XP_002077717.1,182
6730771,XP_016023179.1,474
6730771,XP_016023180.1,470
6730771,XP_016023181.2,474
6730771,XP_016023184.1,472
6730771,XP_016023185.1,472
6730771,XP_016023187.1,331
6730771,XP_039150055.1,474
6730771,XP_039150076.1,473
6731876,XP_002079011.1,845
6733211,XP_002080275.1,182
6733997,XP_016027026.1,217
6733997,XP_016027027.1,245
6733997,XP_039148869.1,252
6734752,XP_002081755.1,845
6735063,XP_016028350.1,668
6735191,XP_002082165.1,474
6735193,XP_002082167.2,468
6735278,XP_016028624.1,535
6735278,XP_016028625.1,492
6735278,XP_016028626.1,513
6735278,XP_016028629.1,480
6735278,XP_016028632.1,420
6735278,XP_016028634.1,520
6735278,XP_016028635.1,515
6735278,XP_016028636.1,459
6735278,XP_016028637.1,404
6735278,XP_016028639.1,475
6735278,XP_016028642.1,547
6735278,XP_039148050.1,547
6735278,XP_039148051.1,547
6735278,XP_039148054.1,518
6735278,XP_039148055.1,508
6735278,XP_039148056.1,504
6735278,XP_039148057.1,499
6735278,XP_039148058.1,497
6735278,XP_039148059.1,496
6735278,XP_039148061.1,491
6735278,XP_044778561.1,530
6735278,XP_044778562.1,494
6735593,XP_016028950.2,834
6736073,XP_002082974.3,252
6737975,XP_016031748.1,435
6737975,XP_039148901.1,422
6737975,XP_039148902.1,416
6737975,XP_039148903.1,408
6737975,XP_039148904.1,396
6737975,XP_039148905.1,390
6737975,XP_039148906.1,384
6737975,XP_039148907.1,382
6737975,XP_039148908.1,370
6737975,XP_039148909.1,363
6737975,XP_039148910.1,345
6737975,XP_039148911.1,337
6737975,XP_039148912.1,331
6737975,XP_039148913.1,49
6738359,XP_002085169.1,418
6738468,XP_016032298.1,233
6738679,XP_002085481.1,893
6739514,XP_016029415.1,275
6739514,XP_039148641.1,240
6740007,XP_002076891.2,385
6740169,XP_039153435.1,2087
6740169,XP_039153436.1,2087
6740169,XP_039153437.1,2086
6740169,XP_039153438.1,2040
6740169,XP_039153439.1,1923
6740169,XP_039153440.1,1922
6740169,XP_039153441.1,1876
27207993,XP_039149426.1,659
27207993,XP_044778848.1,659
6724979,XP_016037927.1,211
6724979,XP_016037928.1,333
6724979,XP_016037929.1,257
6724985,XP_016037941.1,655
6724985,XP_016037942.1,627
6724985,XP_016037943.1,622
6724985,XP_039154065.1,650
6724989,XP_002106024.1,245
6728325,XP_002103674.1,612
6728345,XP_002103693.1,485
6729454,XP_016036128.1,1464
6729454,XP_016036129.1,1463
6729454,XP_016036130.1,1464
6729789,XP_002105094.2,183
6730332,XP_002105614.1,502
6731597,XP_002078738.1,297
6731858,XP_002078993.1,975
6731881,XP_016024554.1,680
6732257,XP_002079386.1,1595
6738376,XP_002085185.1,182
6738377,XP_002085186.1,190
6739960,XP_002076849.2,260
6740478,XP_016028337.1,715
6740478,XP_016028338.1,691
6740478,XP_016028339.1,709
6740478,XP_016028340.1,733
6740478,XP_016028341.1,733
27206256,XP_016030223.1,72
27206379,XP_039153085.1,879
27206379,XP_039153086.1,720
27206379,XP_039153087.1,701
27206379,XP_039153088.1,661
27206379,XP_039153089.1,514
27206404,XP_039152398.2,137
6724686,XP_016037191.1,753
6724686,XP_016037193.1,730
6724686,XP_016037194.1,750
6724686,XP_016037195.2,741
6724686,XP_016037196.1,857
6724686,XP_016037199.1,457
6724686,XP_016037201.1,857
6724686,XP_016037202.1,777
6724686,XP_016037203.1,1106
6724686,XP_039152089.1,1195
6724686,XP_039152091.1,783
6724686,XP_039152092.1,773
6724686,XP_039152093.1,746
6724686,XP_039152094.1,763
6724686,XP_039152095.1,763
6724686,XP_039152096.1,763
6724686,XP_039152097.1,763
6724686,XP_039152098.1,763
6724686,XP_039152099.1,763
6724686,XP_039152100.1,763
6724686,XP_039152101.1,750
6724686,XP_039152102.1,750
6724686,XP_039152103.1,749
6724686,XP_039152104.1,746
6724686,XP_044779446.1,853
6724686,XP_044779447.1,555
6724686,XP_044779448.1,493
6724686,XP_044779449.1,383
6724729,XP_016037368.1,599
6724729,XP_039152129.1,599
6724738,XP_016037401.2,505
6724753,XP_016037488.1,360
6724753,XP_016037489.2,356
6724753,XP_016037492.1,389
6724753,XP_016037493.1,359
6724754,XP_039153833.1,1408
6724754,XP_039153834.1,1408
6724754,XP_039153835.1,1407
6724754,XP_039153836.1,1401
6724754,XP_039153837.1,1208
6724767,XP_039152876.1,879
6724767,XP_039152877.1,879
6724767,XP_039152878.1,879
6725694,XP_016038959.1,716
6725922,XP_002106908.2,223
6725943,XP_039153970.1,252
6725944,XP_044779716.1,257
6726007,XP_016039377.1,958
6726007,XP_016039378.1,958
6726007,XP_044779521.1,958
6726398,XP_002107356.1,121
6726495,XP_002107451.3,144
6726495,XP_039153815.1,132
6726517,XP_039152399.1,131
6726534,XP_002107489.1,81
6726916,XP_002102318.1,258
6726916,XP_016033420.1,235
6726921,XP_002102323.1,124
6726923,XP_016033422.1,454
6726925,XP_016033423.1,735
6726927,XP_002102329.1,308
6726929,XP_039150857.1,489
6726929,XP_039150858.1,489
6726929,XP_039150859.1,489
6726929,XP_039150860.1,485
6726929,XP_039150861.1,485
6726929,XP_039150862.1,466
6726929,XP_044779164.1,489
6726931,XP_016033427.1,533
6726932,XP_016033429.1,390
6726932,XP_039151037.1,390
6726933,XP_002102335.1,288
6726934,XP_016033431.1,395
6726934,XP_039151035.1,393
6726936,XP_002102338.1,312
6726937,XP_016033433.1,274
6727037,XP_002102435.1,450
6727100,XP_002102493.1,568
6727105,XP_002102498.1,541
6727105,XP_016033583.1,540
6727906,XP_016034524.1,1434
6729513,XP_016036186.1,322
6730053,XP_002105346.1,116
6730065,XP_002105358.1,125
6730114,XP_002105407.1,200
6730114,XP_016036875.1,199
6730362,XP_016037133.1,813
6730362,XP_016037134.1,813
6730362,XP_016037135.1,643
6730362,XP_016037137.1,813
6730592,XP_039151303.1,838
6730679,XP_016023116.1,178
6730679,XP_016023117.1,178
6730680,XP_002077850.1,245
6730681,XP_002077851.1,248
6730683,XP_002077853.1,251
6730684,XP_002077854.1,255
6731396,XP_002078549.1,311
6731921,XP_016024593.1,861
6731921,XP_039151423.1,839
6731924,XP_016024595.1,1366
6731925,XP_002079060.2,341
6731926,XP_016024596.1,174
6731929,XP_016024600.1,494
6731932,XP_002079067.1,127
6731964,XP_016024643.1,901
6731964,XP_039154404.1,901
6731964,XP_039154405.1,901
6731964,XP_039154406.1,901
6731964,XP_039154407.1,901
6731964,XP_039154408.1,898
6731964,XP_039154409.1,891
6731964,XP_044779842.1,901
6732033,XP_002079165.1,253
6732204,XP_016024878.1,464
6732204,XP_016024879.1,463
6732204,XP_016024880.1,417
6732204,XP_016024881.1,418
6732316,XP_002079444.1,245
6732374,XP_016025028.1,147
6732535,XP_016025192.2,242
6733888,XP_016026906.1,605
6733888,XP_016026909.1,751
6733888,XP_016026910.1,897
6733888,XP_016026911.1,973
6733888,XP_016026912.1,669
6733888,XP_016026913.1,664
6733888,XP_016026914.1,613
6733888,XP_016026916.1,580
6733888,XP_016026917.1,753
6733888,XP_016026918.1,512
6733888,XP_016026920.1,773
6733888,XP_016026921.1,549
6733888,XP_016026922.1,708
6733888,XP_016026923.1,789
6733888,XP_016026925.1,670
6733888,XP_016026926.1,611
6733888,XP_016026927.1,568
6733888,XP_016026928.1,552
6733888,XP_016026929.1,973
6733888,XP_016026930.1,973
6733888,XP_039147815.1,960
6733888,XP_039147818.1,578
6733888,XP_039147819.1,491
6733930,XP_002080974.1,521
6733931,XP_016026984.1,523
6734380,XP_016027497.1,925
6734380,XP_016027498.1,984
6734380,XP_016027499.1,959
6734380,XP_016027500.1,950
6734380,XP_039147720.1,984
6734380,XP_039147721.1,939
6734944,XP_016028252.1,1732
6734944,XP_039148315.1,1600
6736622,XP_002083478.3,70
6736623,XP_016030209.1,91
6736624,XP_002083480.1,71
6736625,XP_002083481.1,69
6736633,XP_002083489.2,70
6736645,XP_016030240.1,1179
6736793,XP_016030437.1,1042
6736793,XP_016030438.1,886
6736804,XP_002083660.2,521
6736946,XP_002083793.2,442
6738141,XP_002084954.1,217
6739414,XP_002076318.2,519
6740073,XP_016038882.1,216
6740130,XP_039153262.1,252
27206316,XP_016029180.1,487
27206587,XP_016038559.1,1000
27206587,XP_016038560.1,1000
27206587,XP_016038562.1,1000
27206587,XP_016038563.1,1000
27206587,XP_016038564.1,1000
27206587,XP_039152461.1,1000
27206587,XP_039152462.1,1000
27206587,XP_039152463.1,1000
27206587,XP_039152464.1,1000
27206587,XP_039152465.1,1000
27206587,XP_039152466.1,1000
27206587,XP_039152467.1,1000
27206587,XP_039152468.1,797
6725443,XP_002106459.1,218
6725446,XP_016038539.1,692
6725461,XP_039152479.1,392
6729676,XP_016036339.1,417
6729676,XP_016036340.1,422
6730018,XP_016036789.1,1018
6730470,XP_016022928.1,389
6730594,XP_016023042.1,500
6730774,XP_016023191.1,350
6730955,XP_002078118.1,809
6735345,XP_002082292.2,378
6735347,XP_002082294.1,765
6735348,XP_016028680.1,568
6735349,XP_002082296.2,498
6735350,XP_016028681.1,465
6735350,XP_016028683.1,465
6735350,XP_039147907.1,465
6735351,XP_016028684.1,478
6735351,XP_016028685.1,477
6735352,XP_002082299.1,882
6735352,XP_016028686.1,882
6735352,XP_039147906.1,882
6735352,XP_044778480.1,882
6735358,XP_002082305.1,587
6735359,XP_016028690.1,425
6735362,XP_016028692.1,374
6735363,XP_016028693.1,1448
6735365,XP_002082312.1,215
6735366,XP_002082313.1,219
6736669,XP_002083525.1,81
6737650,XP_002084482.1,343
6738144,XP_016031977.1,446
6738154,XP_002084967.1,343
6738160,XP_002084973.1,516
6738160,XP_016031990.1,434
6738162,XP_002084975.1,598
6738164,XP_039149338.1,2136
6738164,XP_039149339.1,2136
6738164,XP_039149340.1,2136
6738167,XP_002084980.1,771
6738170,XP_016032003.1,602
6738170,XP_016032004.1,454
6738170,XP_016032005.1,596
6738170,XP_016032006.1,890
6738170,XP_016032007.1,301
6738170,XP_039150306.1,893
6738175,XP_002084988.1,976
6740027,XP_002076913.2,525
6740028,XP_002076912.2,191
6740028,XP_016038535.1,190
6740030,XP_002076916.1,188
27206485,XP_016036364.1,70
27206675,XP_016039839.1,589
27208442,XP_016023932.1,468
6724927,XP_002105964.2,501
6725064,XP_002106092.1,747
6725066,XP_016038043.1,541
6726207,XP_016039727.1,538
6726207,XP_016039728.1,538
6726207,XP_016039729.1,538
6726651,XP_016033139.1,798
6726659,XP_002102070.1,384
6727010,XP_016033500.1,352
6727010,XP_016033502.1,333
6727010,XP_016033503.1,333
6727116,XP_002102509.1,391
6727336,XP_002102721.1,44
6727339,XP_002102724.1,43
6727700,XP_016034272.1,97
6727700,XP_016034275.1,97
6727700,XP_016034276.1,97
6727700,XP_039151016.1,97
6728142,XP_002103493.1,401
6728929,XP_002104257.2,389
6728930,XP_002104258.1,390
6728942,XP_016035621.1,786
6728942,XP_016035622.1,723
6729221,XP_016035872.1,718
6729221,XP_016035873.1,628
6729221,XP_016035874.1,636
6729221,XP_016035875.1,626
6729696,XP_002105002.1,173
6729697,XP_002105003.1,205
6729698,XP_002105004.1,195
6729699,XP_002105005.1,140
6729701,XP_002105007.1,156
6729703,XP_002105009.1,224
6729704,XP_002105010.1,151
6729705,XP_002105011.1,178
6731135,XP_002078293.3,168
6731137,XP_002078295.1,141
6731505,XP_002078653.1,235
6731613,XP_002078753.1,223
6731960,XP_002079095.1,118
6732211,XP_039148725.1,119
6732326,XP_002079454.1,216
6732352,XP_016025004.1,1612
6732352,XP_016025005.1,1602
6732441,XP_002079562.2,240
6732442,XP_016025086.1,409
6733445,XP_002080502.2,403
6734542,XP_016027658.1,194
6734542,XP_016027659.1,193
6735597,XP_002082517.1,199
6735880,XP_002082790.1,398
6736135,XP_002083035.1,203
6736801,XP_016030458.1,552
6736801,XP_039149183.1,552
6736801,XP_039149184.1,552
6736801,XP_044778796.1,552
6737011,XP_002083858.1,417
6737294,XP_002084134.2,241
6737295,XP_002084135.1,243
6737296,XP_002084137.1,250
6737296,XP_016031007.1,251
6737298,XP_002084138.1,254
6737298,XP_044778920.1,228
6737329,XP_016031058.1,172
6737330,XP_002084168.1,115
6737538,XP_002084373.2,391
6737538,XP_016031332.1,252
